행정구역구분명,행정구역명,총 인구수,인구소멸비율,시군구
시군,경기도 평택시,437180,0.12,평택시
시군,경기도 포천시,156904,0.095,포천시
시군,경기도 하남시,145584,0.119,하남시
시군,경기도 화성시,527657,0.136,화성시
시군,경기도 가평군,60751,0.08,가평군
구,경기도 고양시 덕양구,400234,0.123,고양시덕양구
구,경기도 고양시 일산동구,282596,0.134,고양시일산동구
구,경기도 고양시 일산서구,291497,0.124,고양시일산서구
시군,경기도 과천시,70837,0.117,과천시
시군,경기도 광명시,354958,0.139,광명시
시군,경기도 광주시,278540,0.125,광주시
시군,경기도 구리시,191476,0.129,구리시
시군,경기도 군포시,286403,0.138,군포시
시군,경기도 김포시,296806,0.123,김포시
시군,경기도 남양주시,606717,0.124,남양주시
시군,경기도 동두천시,97310,0.11,동두천시
시군,경기도 부천시,868517,0.137,부천시
구,경기도 부천시 소사구,231051,0.136,부천시소사구
구,경기도 부천시 오정구,191267,0.124,부천시오정구
구,경기도 부천시 원미구,446199,0.143,부천시원미구
구,경기도 성남시 분당구,490340,0.139,성남시분당구
구,경기도 성남시 수정구,232251,0.132,성남시수정구
구,경기도 성남시 중원구,258355,0.132,성남시중원구
구,경기도 수원시 권선구,332143,0.145,수원시권선구
구,경기도 수원시 영통구,300710,0.156,수원시영통구
구,경기도 수원시 장안구,292489,0.129,수원시장안구
구,경기도 수원시 팔달구,206597,0.136,수원시팔달구
시군,경기도 시흥시,398852,0.128,시흥시
구,경기도 안산시 단원구,332768,0.134,안산시단원구
구,경기도 안산시 상록구,381977,0.134,안산시상록구
시군,경기도 안성시,181782,0.113,안성시
구,경기도 안양시 동안구,358185,0.135,안양시동안구
구,경기도 안양시 만안구,252500,0.129,안양시만안구
시군,경기도 양주시,199531,0.113,양주시
시군,경기도 양평군,102557,0.081,양평군
시군,경기도 여주군,109332,0.097,여주군
시군,경기도 연천군,45631,0.08,연천군
시군,경기도 오산시,200863,0.154,오산시
구,경기도 용인시 기흥구,381531,0.138,용인시기흥구
구,경기도 용인시 수지구,331123,0.131,용인시수지구
구,경기도 용인시 처인구,211283,0.117,용인시처인구
시군,경기도 의왕시,158263,0.13,의왕시
시군,경기도 의정부시,430028,0.121,의정부시
시군,경기도 이천시,204902,0.125,이천시
시군,경기도 파주시,397568,0.123,파주시
시군,경기도 평택시,436619,0.12,평택시
시군,경기도 포천시,156852,0.095,포천시
시군,경기도 하남시,145663,0.119,하남시
시군,경기도 화성시,527046,0.137,화성시
시군,경기도 가평군,60647,0.08,가평군
구,경기도 고양시 덕양구,399581,0.123,고양시덕양구
구,경기도 고양시 일산동구,282530,0.134,고양시일산동구
구,경기도 고양시 일산서구,291413,0.124,고양시일산서구
시군,경기도 과천시,70858,0.117,과천시
시군,경기도 광명시,355277,0.14,광명시
시군,경기도 광주시,277437,0.125,광주시
시군,경기도 구리시,191645,0.13,구리시
시군,경기도 군포시,286553,0.139,군포시
시군,경기도 김포시,294377,0.123,김포시
시군,경기도 남양주시,604981,0.124,남양주시
시군,경기도 동두천시,97181,0.11,동두천시
시군,경기도 부천시,869139,0.137,부천시
구,경기도 부천시 소사구,231165,0.136,부천시소사구
구,경기도 부천시 오정구,191488,0.124,부천시오정구
구,경기도 부천시 원미구,446486,0.143,부천시원미구
구,경기도 성남시 분당구,490653,0.139,성남시분당구
구,경기도 성남시 수정구,232833,0.133,성남시수정구
구,경기도 성남시 중원구,257461,0.132,성남시중원구
구,경기도 수원시 권선구,332129,0.145,수원시권선구
구,경기도 수원시 영통구,299406,0.156,수원시영통구
구,경기도 수원시 장안구,292110,0.13,수원시장안구
구,경기도 수원시 팔달구,206670,0.137,수원시팔달구
시군,경기도 시흥시,399166,0.128,시흥시
구,경기도 안산시 단원구,332875,0.134,안산시단원구
구,경기도 안산시 상록구,381858,0.134,안산시상록구
시군,경기도 안성시,181784,0.113,안성시
구,경기도 안양시 동안구,358204,0.135,안양시동안구
구,경기도 안양시 만안구,252902,0.129,안양시만안구
시군,경기도 양주시,199674,0.114,양주시
시군,경기도 양평군,102466,0.081,양평군
시군,경기도 여주군,109403,0.097,여주군
시군,경기도 연천군,45534,0.08,연천군
시군,경기도 오산시,200659,0.155,오산시
구,경기도 용인시 기흥구,380372,0.138,용인시기흥구
구,경기도 용인시 수지구,330692,0.131,용인시수지구
구,경기도 용인시 처인구,210779,0.118,용인시처인구
시군,경기도 의왕시,157594,0.13,의왕시
시군,경기도 의정부시,429852,0.121,의정부시
시군,경기도 이천시,204736,0.126,이천시
시군,경기도 파주시,396993,0.123,파주시
시군,경기도 평택시,436018,0.12,평택시
시군,경기도 포천시,156946,0.096,포천시
시군,경기도 하남시,145697,0.12,하남시
시군,경기도 화성시,526505,0.137,화성시
시군,경기도 가평군,60715,0.08,가평군
구,경기도 고양시 덕양구,398899,0.124,고양시덕양구
